QLearningExplore,QLearning,NSGAII-2
0.5202962141004825,0.1430176230429438,0.3400552650752528
0.5430705002332622,0.15151796072379273,0.28391625005305154
0.5159073703433819,0.14371175146149198,0.2979157700053949
0.5589272162758212,0.14272068750512215,0.3276030702701109
0.526722222891802,0.1418577319169377,0.3225046446809824
0.5217769486612737,0.15474251020770474,0.2669117243190929
0.5318013276387168,0.16670605625163804,0.26215141596204655
0.5172449296824403,0.1477059062657854,0.3574722040784722
0.5268253072052386,0.14907176561089736,0.2654922607594054
0.5300323876974332,0.16385855864477733,0.2566373243342395
0.5326247036328939,0.15060601458121706,0.32418591988515194
0.5246742116134191,0.1500613782227925,0.31274168359209004
0.5341140630668426,0.16798185869075488,0.2765471739414144
0.5351514424897958,0.16168169237476102,0.3324509667696114
0.5490996102398851,0.18051076032626093,0.2765013829039301
0.5353936219711992,0.16167917424346265,0.2824459925283157
0.5233423877471998,0.16480792125018262,0.29305551119543616
0.5366126895933951,0.19015400163560023,0.3241987659919335
0.5333324260527358,0.20055249558914842,0.3071990791620808
0.5374402252811744,0.16604370100853902,0.3288890530064394
0.5375775328709474,0.15860760156646714,0.2954958363461271
0.5211975618347668,0.17095611150891674,0.303507553085567
0.5311096391745699,0.1531487646983985,0.34325675654815685
0.5353763544287171,0.1520679001100437,0.32003786797748224
0.53719269625785,0.17827997535533763,0.3146536222517408
0.5431785458169435,0.14379754444820134,0.2650689095840596
0.5178672309590041,0.18015312908439998,0.30105153383289984
0.5220269228304429,0.17014653066133453,0.3295470188894639
0.5405146928742223,0.17437797696116175,0.3118429308420814
0.5367031555389153,0.17140299018734725,0.28866078575764625
