QLearningExplore,QLearning,NSGAII-2
0.4,0.4,0.36
0.4033333333333333,0.4,0.0
0.4066666666666666,0.4,0.0
0.4,0.41000000000000003,0.28
0.4066666666666666,0.4033333333333333,0.3600000000000001
0.4,0.4,0.07999999999999999
0.4033333333333333,0.345,0.09999999999999998
0.4,0.3833333333333333,0.33999999999999997
0.4,0.4,0.0
0.41000000000000003,0.38,0.28
0.41000000000000003,0.4,0.28
0.4,0.4,0.13666666666666663
0.4033333333333333,0.3666666666666667,0.36
0.4033333333333333,0.4033333333333333,0.11999999999999997
0.4,0.3766666666666667,0.3
0.4033333333333333,0.4,0.2
0.41000000000000003,0.3833333333333333,0.4
0.4033333333333333,0.3833333333333333,0.2
0.4,0.38,0.13999999999999999
0.4066666666666666,0.38,0.13666666666666663
0.4033333333333333,0.4,0.15999999999999998
0.4066666666666666,0.4,0.0
0.41000000000000003,0.4,0.28
0.4,0.4033333333333333,0.07999999999999999
0.4,0.3733333333333333,0.0
0.4,0.4033333333333333,0.36
0.4,0.38,0.0
0.4,0.3866666666666667,0.4
0.41000000000000003,0.3733333333333334,0.33333333333333337
0.4,0.4,0.07999999999999999
