Reference Set:

8.0 -2.8935714285714287 
1.0 0.15952380952380954 
2.0 -0.8404761904761905 
3.0 -1.8404761904761904 
4.0 -2.8383333333333334 
37.0 -9.914880952380953 
38.0 -10.912738095238096 
6.0 -2.8741666666666665 
5.0 -2.8633333333333333 
63.0 -11.880853174603175 
9.0 -3.8491666666666666 
10.0 -4.843333333333334 
50.0 -10.924404761904762 
52.0 -10.930238095238096 
54.0 -10.931071428571428 
69.0 -13.926818181818183 
65.0 -13.918055555555556 
87.0 -13.955641025641025 
64.0 -11.932348484848484 
57.0 -10.93234126984127 
88.0 -16.917559523809523 
16.0 -5.906666666666666 
17.0 -6.906666666666666 
19.0 -6.914166666666667 
20.0 -7.904166666666667 
21.0 -8.8875 
23.0 -8.8925 
24.0 -8.895 
25.0 -8.915 
28.0 -8.918333333333333 
30.0 -8.918571428571429 
32.0 -8.921904761904761 
34.0 -8.92388888888889 
7.0 -2.8835714285714285 
11.0 -4.870357142857143 
12.0 -4.895357142857143 
13.0 -5.895357142857143 
14.0 -5.902797619047619 
15.0 -5.905297619047619 

QLearning
0.0, 0.1845238095238095
8.0, -2.8935714285714287
1.0, 0.15952380952380954
2.0, -0.8404761904761905
3.0, -1.8404761904761904
4.0, -2.8383333333333334
23.0, -6.898571428571429
24.0, -7.892738095238095
25.0, -8.876071428571429
28.0, -8.900277777777777
36.0, -8.914880952380953
37.0, -9.914880952380953
38.0, -10.912738095238096
6.0, -2.8741666666666665
5.0, -2.8633333333333333
97.0, -13.908333333333333
99.0, -13.9375
100.0, -14.9375
63.0, -11.880853174603175
66.0, -11.882361111111111
67.0, -11.90875
68.0, -11.92640873015873
76.0, -11.93763888888889
27.0, -8.9
9.0, -3.8491666666666666
10.0, -4.843333333333334
11.0, -4.845833333333333
13.0, -4.870833333333334
14.0, -5.870833333333334
16.0, -5.885833333333333
31.0, -8.904246031746032
98.0, -13.918484848484848
7.0, -2.881666666666667
50.0, -10.924404761904762
52.0, -10.930238095238096
54.0, -10.931071428571428
86.0, -12.860833333333334
87.0, -13.869166666666667
88.0, -13.873333333333333
89.0, -13.875714285714286
92.0, -13.879880952380953
94.0, -13.899880952380952
18.0, -5.899166666666667
22.0, -5.901428571428571

NSGAII-2
69.0, -13.926818181818183
50.0, -8.863392857142857
65.0, -13.918055555555556
87.0, -13.955641025641025
64.0, -11.932348484848484
44.0, -2.9072222222222224
56.0, -10.865833333333333
46.0, -6.881388888888889
47.0, -6.9061111111111115
51.0, -8.885892857142856
57.0, -10.93234126984127
52.0, -9.894940476190476
88.0, -16.917559523809523

QLearningExplore
0.0, 0.1845238095238095
1.0, 0.15952380952380954
2.0, -0.8404761904761905
3.0, -1.8404761904761904
4.0, -2.8383333333333334
16.0, -5.906666666666666
17.0, -6.906666666666666
19.0, -6.914166666666667
20.0, -7.904166666666667
21.0, -8.8875
23.0, -8.8925
24.0, -8.895
25.0, -8.915
28.0, -8.918333333333333
30.0, -8.918571428571429
32.0, -8.921904761904761
34.0, -8.92388888888889
6.0, -2.8725
5.0, -2.8633333333333333
7.0, -2.8835714285714285
68.0, -8.927777777777777
69.0, -8.928611111111111
70.0, -8.931190476190476
72.0, -8.935357142857143
91.0, -8.936666666666667
39.0, -8.924166666666666
42.0, -8.926150793650793
9.0, -2.895952380952381
10.0, -3.867857142857143
11.0, -4.870357142857143
12.0, -4.895357142857143
13.0, -5.895357142857143
14.0, -5.902797619047619
15.0, -5.905297619047619
8.0, -2.8919047619047618
