QLearningExplore,QLearning,NSGAII-2
0.7607366060255892,0.3738169890421985,0.5567036622546363
0.7680759450365412,0.3645813507985596,0.5659532020866115
0.7654688345501125,0.35401876660409365,0.4887635180987615
0.7653733335328845,0.3847913750043653,0.5968600254510943
0.761362227875772,0.3574512785996456,0.5569178254032526
0.769377398425864,0.36657111398950126,0.5638937529686928
0.7667111785221595,0.3422915309452754,0.5998502186948999
0.7646004116489652,0.35303903249402724,0.569093780727099
0.7601758605305572,0.40450946658894604,0.5552758642148404
0.758182084580228,0.3515139889094066,0.5666972649302581
0.7607026439500298,0.3755607203489977,0.6246732489254311
0.7712315254690054,0.37443679004670616,0.5001076731959702
0.7599185195402275,0.3624845716068397,0.5186734280251116
0.7711734139614753,0.3559983658979026,0.5463916345178752
0.7612851898939728,0.3550609922881441,0.5472869623802689
0.7751822993064352,0.3535360142770535,0.5376651747338215
0.75713339851253,0.3504975729667203,0.6219603015027593
0.7692308497105974,0.3530885405090932,0.5612896126409297
0.7647899822704425,0.379135658051468,0.5617604961590603
0.773539771804086,0.34782298605903356,0.5400940838544276
0.76916714024043,0.3701442156331344,0.5700538558929051
0.7809993453813844,0.36867831937247336,0.5995867835959253
0.7752793323002938,0.35257831287302954,0.5326787012269683
0.7696940500900211,0.3824136788106022,0.6139352555385131
0.7631937888024163,0.3487134745949217,0.6445838625202357
0.7529963715233964,0.3618845738083584,0.5866895587874214
0.7757451390038151,0.3646678422844828,0.5586402453128384
0.7775932784304913,0.3580368502215516,0.5672032302868792
0.7868629821887271,0.3619745406913656,0.5659303824982101
0.7606219098389553,0.36978323335109736,0.5601109677852991
