QLearningExplore,QLearning,NSGAII-2
0.5501518506534012,0.2940640534763199,0.5369481877353828
0.5570503452735335,0.2850895404233272,0.5223896914108883
0.562682962633492,0.2944214593440836,0.4733709887311748
0.5536191929508556,0.2739292206752881,0.42923889188502784
0.5697763348436158,0.24532515908700486,0.4307309001455223
0.5709228479356472,0.2369396646367318,0.43642082265444543
0.5613744502773096,0.3068651276756073,0.43943749305759594
0.5824363860164747,0.2478060909412378,0.44264674167292783
0.5536416477126975,0.2767530455274908,0.4160900302968381
0.5740311859454997,0.2605785356167325,0.4372092142119571
0.5591441440131688,0.26887097048006914,0.4832011493696034
0.5809228930303364,0.267310977191549,0.4502640566271767
0.5836145197289809,0.2778559791524801,0.5036848519403527
0.5613214389496852,0.30012728891143636,0.4443681288276474
0.5816759505949147,0.287015182901382,0.51843836104993
0.5589219136432693,0.3042913222406358,0.48831171315153343
0.5650791082330144,0.3282606136328283,0.4902205944772457
0.5724538327665767,0.29834696856322884,0.5082081171520642
0.5531671504155105,0.2942226052499968,0.4942001779442262
0.5685771977307238,0.3060346067841779,0.48936918865781676
0.5765097975144172,0.24843189825305936,0.49729006251096114
0.5679481712803816,0.2600020702706302,0.46386109644896495
0.560061103811196,0.2741777740847161,0.43562591585094745
0.5845818283784688,0.2823415341871808,0.4785245019749146
0.5740362776011573,0.2724523499234225,0.43003536959512656
0.5712836467563418,0.28020001330907407,0.47026490445547736
0.5629221356407818,0.28433208601994686,0.5523198359407677
0.588070638448948,0.2581499038349777,0.5128054677877776
0.5732841357308918,0.26850335581916057,0.4757494944118847
0.5437362330844837,0.27320046046154006,0.4420480304051158
