QLearningExplore,QLearning,NSGAII-2
0.7547854181734222,0.48146518287695045,0.5272884892647259
0.7548781440181196,0.48334789195170513,0.5214566723623683
0.7392418480704499,0.4836086696242026,0.5300041891818673
0.7469373748910171,0.45442447645137984,0.5238195295165525
0.7503651736956133,0.4806502526503954,0.5996556148912863
0.7611857983651179,0.44350925694661925,0.5734553878561299
0.7509683605070089,0.4815180432159703,0.507776416624048
0.7587365397282261,0.4655410057472404,0.5889399431663255
0.7741538779032427,0.4620081730894183,0.6535636458304427
0.752878324120846,0.4680981246473225,0.5846243369881853
0.7457378047894111,0.4995654439629749,0.5317309602565136
0.7487020741578954,0.459798610918391,0.5227358925666471
0.7675113350291854,0.46951874625847934,0.5730135635224897
0.7508435345921521,0.47697117305461845,0.5534970858535602
0.7537729538942682,0.4897858407414896,0.6191135056844688
0.7419490819428181,0.4850288507325342,0.5800100698945833
0.7435811029574039,0.49553043808446473,0.5425622954375676
0.7445838635886093,0.46095757385139985,0.49746865051519
0.7409744499641246,0.4649965442553367,0.5772137579604367
0.7534645264018831,0.4841081998279397,0.5104722939140571
0.758169801379164,0.48426237581674736,0.5766745825024351
0.7455328577035544,0.4809709387071153,0.5604869846832763
0.7503316703093106,0.5242600323417176,0.4925328163592178
0.7406618529776511,0.5142518081539716,0.623749483274454
0.7518543123747757,0.44689892618626303,0.5369007014126486
0.7414510830108064,0.5552714312333241,0.5303107791481823
0.754380847792996,0.4800494067968705,0.5591346410100201
0.7539775737494553,0.5068117154369369,0.5755376447106844
0.7489491542901633,0.47637737524629614,0.5720369687590992
0.7535764312001965,0.4699160798067778,0.619717623844695
