QLearningExplore,QLearning,NSGAII-2
0.7105942651663049,0.5689250580881776,0.6416086500409204
0.7016230691915653,0.5748068738247541,0.6398749444718819
0.7083258935415047,0.588279327174863,0.5737608131249375
0.7069190832804622,0.5754471713160967,0.6417846992103051
0.7000220655801552,0.5921855069840419,0.6388987549141462
0.7005875206206155,0.6308636211582039,0.642606761430124
0.7068646559861543,0.5851339614762926,0.6759230382018927
0.7123173490078679,0.5966549932372701,0.6758274067627008
0.6997014314724441,0.5768084164977285,0.5646444393449419
0.6870952068905566,0.6794598593355975,0.6410933455355783
0.6942803100600478,0.639868947167874,0.737821067076984
0.6998930111945556,0.5995107051484249,0.6496496978186345
0.7202949217606761,0.510252563709792,0.6373210533359007
0.7374362344152025,0.5960139447585936,0.6761407756198528
0.7226457036395993,0.5884416440729869,0.6804376902589735
0.7248304984685642,0.5809363178561752,0.7027159921867285
0.7106938779344789,0.6708218776227789,0.6566909759476603
0.6875160813168818,0.6710903520265594,0.675731619080332
0.6949225538727362,0.5480388963298295,0.6836369642993111
0.7061127096886654,0.5750037733343826,0.6380852688094312
0.7040574092444388,0.5711426303523611,0.6477505600463186
0.7038166980022976,0.5706819064869814,0.6764550222656052
0.7225210546589174,0.5767466789275377,0.6707882561644126
0.6983658435032785,0.7111646043593639,0.6393430539775525
0.7034267082701463,0.6305402917799332,0.6608806176164775
0.7012002299243558,0.5702546239455597,0.6787094252234662
0.6989893213952346,0.6092213412821222,0.7046724212477913
0.7041948021303638,0.6289993252445518,0.6146366775069774
0.7275291867150907,0.5656096150386134,0.6513361284487651
0.7014342854869604,0.6066945772089407,0.6393365792785555
