Chebycheff,PQ-HV,PQ-PO,NSGAII-2,Tournament
0.2913254684247051,0.291232940087902,0.3141337034466805,0.31367106176266474,0.2909090909090909
0.2913254684247051,0.3142262317834837,0.2913254684247051,0.31195928753180663,0.2911404117510987
0.2909090909090909,0.290909090909091,0.2913254684247051,0.30515845477677533,0.3142262317834837
0.3142262317834837,0.29109414758269725,0.3143187601202868,0.2896136941938469,0.3142262317834837
0.29100161924589407,0.2912329400879019,0.2912329400879019,0.27786259541984737,0.2909090909090909
0.3142262317834837,0.28211889891279207,0.2682396483923202,0.3051121906083738,0.3141337034466805
0.267823270876706,0.2910941475826973,0.28211889891279207,0.30483460559796444,0.31413370344668057
0.2912329400879019,0.29141799676150826,0.2682396483923202,0.3048346055979643,0.3142262317834837
0.2913254684247051,0.29100161924589407,0.291232940087902,0.31357853342586156,0.29109414758269725
0.2676844783715013,0.2682396483923202,0.3141337034466805,0.28979875086745316,0.3142262317834837
0.3143187601202868,0.29123294008790196,0.29100161924589407,0.3119592875318066,0.3141337034466805
0.2913254684247051,0.28211889891279207,0.29090909090909095,0.30270645385149203,0.3142262317834837
0.3141337034466805,0.2676844783715013,0.2912329400879019,0.2851260698588943,0.2909090909090909
0.3142262317834837,0.29090909090909095,0.3142262317834837,0.2798797131621559,0.2909090909090909
0.28193384223918583,0.3142262317834837,0.31413370344668057,0.3072866065232477,0.2913254684247051
0.29141799676150826,0.267823270876706,0.291232940087902,0.2851723340272959,0.29090909090909095
0.2676844783715013,0.2912329400879019,0.3143187601202868,0.268470969234328,0.3143187601202868
0.2682396483923202,0.2909090909090909,0.29123294008790196,0.2689336109183437,0.2912329400879019
0.2682396483923202,0.2912329400879019,0.2913254684247051,0.30918343742771226,0.29141799676150826
0.2909090909090909,0.2676844783715013,0.290909090909091,0.31112653250057826,0.3142262317834837
0.29141799676150826,0.2682396483923202,0.29109414758269725,0.3047420772611612,0.29100161924589407
0.29141799676150826,0.29141799676150826,0.31413370344668057,0.3117742308582003,0.28230395558639837
0.3143187601202868,0.2912329400879019,0.31422623178348363,0.2722831367106176,0.2912329400879019
0.2912329400879019,0.2909090909090909,0.2682396483923202,0.30936849410131856,0.2909090909090909
0.2682396483923202,0.2682396483923202,0.29109414758269725,0.31135785334258614,0.2682396483923202
0.28193384223918583,0.2682396483923202,0.2912329400879019,0.30488086976636597,0.2909090909090909
0.2909090909090909,0.2909090909090909,0.29090909090909095,0.27804765209345367,0.2676844783715013
0.26779551237566507,0.2682396483923202,0.290909090909091,0.31131158917418456,0.2911404117510987
0.29109414758269725,0.3142262317834837,0.3142262317834837,0.3096923432801295,0.3143187601202868
0.3142262317834837,0.2909090909090909,0.2912329400879019,0.31172796668979874,0.2817765440666204
