Tournament-Local10,Chebycheff-10,NSGAII-2,PQ-PO-Local10,PQ-HV-Local10
0.2555596189977165,0.24024680518885475,0.4171239500304228,0.2639782982695893,0.24114341346787238
0.22338555353247944,0.250622771896132,0.38434115395129836,0.2617614907910585,0.24092795229664027
0.26776848939684295,0.2581165871707715,0.4108405464257966,0.25881046577399164,0.2736746211779975
0.22174540238045928,0.2299604611037161,0.34770512266310233,0.25335431702112365,0.2544287189395031
0.24154585353020402,0.22327080564281745,0.38286362785419636,0.23277572258075627,0.24001751981293373
0.24376401542526924,0.24383661058375553,0.4367446772238761,0.26574768187686315,0.252123100328984
0.24704711309013236,0.23697097915051013,0.41070659861130476,0.2528766099639267,0.2585894600873756
0.2665196080084994,0.2762858442723159,0.49987754333316514,0.24870923021856842,0.22957219455636277
0.23287240494319286,0.2408948774455405,0.3722102136913333,0.24219088070355413,0.22358859177160786
0.23588066428255755,0.25515957267245803,0.42100587499923353,0.229208273081398,0.23416958459418827
0.24390898665369024,0.26242928539208904,0.37834774352979994,0.2320832517804764,0.2515109783847591
0.27009500501408124,0.2667686812018718,0.4185068319421219,0.2553589393331508,0.25687340919854923
0.2575203725694954,0.27314960245609937,0.4302295256410292,0.2784924987245581,0.265188542551797
0.28636678137601984,0.24861693948305658,0.3866422146168258,0.27529184770208404,0.2172113180873356
0.2331378179409929,0.23929910654182965,0.43998397079463847,0.2789176560800901,0.22635774178823698
0.22384333929273775,0.2419701790345336,0.40024932995976104,0.2653710604856115,0.23416967950708562
0.2550781304718223,0.24193802384959612,0.3337023350612165,0.2677995529873981,0.28815086093761705
0.2730576468955123,0.27058281621254365,0.32233843306678467,0.24711017826044054,0.293267421618321
0.24243014662561022,0.2346800849496883,0.3502608475786575,0.20470022621447836,0.2320482089328384
0.2768010627364605,0.24338625289225135,0.38803261967819846,0.2284263941527056,0.25837698195124265
0.2242936561564898,0.2615782710265591,0.4326712386714385,0.26036993222680865,0.2385979869544834
0.2839231817515992,0.25929583816179674,0.4068632477837426,0.2705197517349607,0.23707326732961628
0.22375205964266418,0.23555046767969784,0.5437654709047949,0.2404726623024412,0.2845800760438357
0.24807970092695053,0.26112961918856925,0.37353141069850615,0.2503470586842816,0.258393525780188
0.2654330420569163,0.2658645788644292,0.3717728028848756,0.2573194555357901,0.2626596978512719
0.23530499599504826,0.241673966585394,0.3648301932738703,0.2594594847666042,0.2612924269300943
0.25619781417748916,0.25522978552551684,0.4105823244655675,0.25983497519978166,0.23828928070555172
0.24138870175747118,0.2678917829159538,0.4064550572702892,0.2559154141081404,0.23657639768179958
0.23901511332438025,0.24126601101924303,0.4007252358047185,0.26364965368846643,0.2527456631302576
0.24516050962326127,0.24949472897060024,0.3513917636274877,0.2416528729857779,0.24284067374294993
